model,harness,benchmark,task_id,sample_id,correct,score,n_tokens,mean_entropy,wall_time_sec,traj_length,n_tool_calls,n_tool_errors
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_129,0,1,1,1182.0,0.10095543756262024,41.75125694274902,1,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_13,0,1,1,956.0,0.1189021387691298,36.458046436309814,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_131,0,1,1,2995.0,0.22910017589406734,102.09761714935303,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_138,0,1,1,3802.0,0.19948494611861595,79.24329352378845,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_160,0,1,1,589.0,0.04561194242640043,43.45432806015015,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_170,0,1,1,4296.0,0.18065272583854683,148.65226793289185,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_201,0,1,1,3720.0,0.1361391444176872,121.56892156600952,9,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_208,0,1,1,814.0,0.06237404671643147,35.88762617111206,6,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_227,0,1,1,8554.0,0.26143793963712125,118.32658338546753,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_241,0,1,1,1317.0,0.058026059485850955,49.055506467819214,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_248,0,1,1,1129.0,0.04600076998289446,46.2035596370697,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_252,0,,,34163.0,0.03364355722199126,1107.9573154449463,0,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_256,0,1,1,3553.0,0.08656514546428926,47.54797554016113,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_279,0,1,1,1299.0,0.048939551684841355,42.93104124069214,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_292,0,1,1,1567.0,0.17769619339128767,98.8565468788147,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_30,0,1,1,1462.0,0.09449122988613198,53.477046489715576,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_307,0,1,1,1573.0,0.10376027636731733,53.97368240356445,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_312,0,1,1,1920.0,0.11211100621734417,77.35824632644653,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_315,0,1,1,1610.0,0.13399990177501492,61.52405500411987,9,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_328,0,1,1,1345.0,0.06693695055510832,46.0131778717041,6,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_34,0,1,1,18005.0,0.14676592039388853,77.48339772224426,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_345,0,1,1,1458.0,0.0655622317603636,50.2343909740448,9,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_360,0,1,1,2086.0,0.17689010920780304,42.01250076293945,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_361,0,1,1,13271.0,0.25300909955816414,500.66719341278076,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_365,0,1,1,1693.0,0.0812798894211942,54.96968150138855,11,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_38,0,1,1,2034.0,0.05761078681949209,71.46745753288269,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_380,0,1,1,1452.0,0.11252460246745312,49.965354681015015,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_42,0,1,1,6741.0,0.12270213544844957,125.42612910270691,9,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_50,0,1,1,1965.0,0.12518294125821172,77.90135025978088,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_55,0,0,0,1124.0,0.06357512412320175,70.50965452194214,7,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_63,0,1,1,1111.0,0.07620217399255157,38.85334873199463,8,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_80,0,1,1,656.0,0.054511782048982854,24.562495231628418,1,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Accounting_99,0,0,0,3865.0,0.20308481120746322,63.398152112960815,6,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_102,0,1,1,806.0,0.2736785892830324,173.97173738479614,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_105,0,1,1,2681.0,0.4075598326211567,157.76115798950195,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_117,0,1,1,977.0,0.26667091654208,21.742039918899536,3,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_123,0,1,1,771.0,0.34324038162383524,64.25430130958557,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_139,0,1,1,1244.0,0.2051909871342988,47.58754301071167,6,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_145,0,1,1,3545.0,0.356959604265498,119.85957312583923,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_146,0,0,0,1660.0,0.46673853794648285,128.42018270492554,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_15,0,0,0,1304.0,0.2799538491915976,26.202608346939087,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_157,0,1,1,620.0,0.34125672378788496,97.76947784423828,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_165,0,1,1,1353.0,0.4110973856005572,94.58136010169983,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_169,0,0,0,1481.0,0.39068074396530056,96.96058917045593,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_174,0,0,0,930.0,0.3140922707903664,42.197529315948486,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_178,0,1,1,2944.0,0.3592772452876157,119.34707736968994,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_183,0,0,0,2086.0,0.21839029460088724,26.648911952972412,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_187,0,0,0,5011.0,0.3483807596696234,215.70163440704346,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_19,0,0,0,2920.0,0.29785022140044665,63.70896792411804,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_190,0,0,0,4041.0,0.2211276308262546,208.5079493522644,3,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_192,0,0,0,2157.0,0.4736536661494849,251.73539805412292,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_193,0,1,1,1146.0,0.26067934692030303,70.96311354637146,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_195,0,1,1,,0.0,86.0026502609253,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_207,0,1,1,15706.0,0.28927829061315125,313.4286186695099,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_210,0,0,0,2955.0,0.2112316240781292,50.73835468292236,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_217,0,1,1,1278.0,0.3009114124133113,43.31663393974304,12,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_234,0,1,1,4864.0,0.31492330298043153,160.27753233909607,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_248,0,0,0,9264.0,0.27305927919316114,163.4169089794159,3,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_262,0,0,0,1757.0,0.37546069118893427,61.02322578430176,36,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_269,0,1,1,882.0,0.40925537023047176,176.67395210266113,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_270,0,0,0,1799.0,0.3651373751274363,42.49517798423767,3,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_271,0,1,1,612.0,0.29602068279730914,61.43734002113342,2,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_278,0,0,0,2002.0,0.3878436816072944,115.40644240379333,5,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_282,0,0,0,1286.0,0.44054678900975597,120.0032913684845,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_37,0,0,0,618.0,0.30418389429302767,24.212812423706055,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_39,0,1,1,714.0,0.3474387183489677,26.745299577713013,4,0,
Gemma-4-31B-IT,zeroclaw,MMMU-Pro vision,mmmu_pro_test_Agriculture_4,0,0,0,604.0,0.30130602048321675,24.22172784805298,5,0,
