benchmark,harness,source_id,task_id,sample_index,outcome,correct,score_status,failure_type,detail
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_214,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_266,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_359,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_391,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_395,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_442,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_473,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_503,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_518,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Architecture_and_Engineering_533,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Art_12,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Art_124,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Basic_Medical_Science_181,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Biology_138,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Biology_259,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Biology_267,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Chemistry_240,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Chemistry_40,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Chemistry_43,0,failure,False,valid_scored,no_action_events,No model action spans extracted
MMMUPro,DirectLLM,mmmu_gemma_directllm,mmmu_pro_test_Chemistry_461,0,failure,False,valid_scored,no_action_events,No model action spans extracted
