task_id,correct,mean_entropy,p90_entropy,max_entropy,n_tokens,wall_time_min,traj_steps
gpqa_109,0,0.34027341328738053,1.2196563837325483,2.723014236627043,11309,55.84679954449336,2
gpqa_152,1,0.17457969603347057,0.6857320623172899,2.0097838960350307,2755,51.73097104628881,4
gpqa_69,0,0.011327099473669363,0.0023578463052444753,2.433680377392838,38718,60.01557247638702,2
gpqa_96,0,0.016213995496511046,0.0018921961776657615,2.3917916666661267,65536,56.39250909090042,2
gpqa_26,1,0.3638895952173819,1.1684694969326481,2.572216119271197,4404,10.669124428431193,4
gpqa_110,0,0.037012256791913514,0.00567882739429372,2.581829759815003,54424,100.65106342633565,2
gpqa_107,0,0.4106245093774393,1.273357488890241,2.633758855893876,511,44.10561271508535,2
gpqa_64,0,0.49895073730232165,1.3733791085209879,2.4855958109655085,1521,6.349305216471354,2
gpqa_95,1,0.11255234587347134,0.45543842938082446,2.3535274814917697,3896,2.9983892838160195,2
gpqa_59,0,0.10172081872095488,0.2931982569064166,2.661896733712088,19166,121.33986622889837,28
gpqa_38,0,0.02019097343873504,0.0027190403710598316,2.6727931471026802,31970,60.01160685221354,2
gpqa_63,1,0.2706781404732278,0.996855078195392,2.46368098591364,1818,11.893159488836924,4
gpqa_31,0,0.33940128445873036,1.2423749753275366,2.756540132107251,3879,26.46562198797862,14
gpqa_9,0,0.0404943471064899,0.008078148690864421,2.414145804243052,29636,60.017884226640064,4
gpqa_139,0,0.032903099374184286,0.004973645605984073,2.4569228001102656,52065,100.64673546950023,2
gpqa_137,1,0.2569668850448994,1.0231425505435587,2.592512254988864,5014,49.74781351089477,2
gpqa_108,0,0.0,0.0,0.0,0,97.39287635882695,2
gpqa_76,1,0.21098935482043388,0.8627260486515522,2.4561153994950806,5371,18.103483911355337,14
gpqa_160,0,0.01017312035906964,0.002746471130638366,2.2621202911251586,68389,60.060159254074094,2
gpqa_74,1,0.2082823616296693,0.7637597246910388,2.182675746815203,1363,6.118422718842824,8
gpqa_72,1,0.3411767492583164,1.097711169494903,2.3823215462929737,960,2.4960850954055784,2
gpqa_182,1,0.17052941472751235,0.6856480371906187,2.0627549590907406,1926,123.8408478140831,8
