task_id,correct,n_tokens,mean_entropy,wall_time_min
gpqa_109,0,11309,0.34027341328738053,55.84679954449336
gpqa_152,1,2755,0.17457969603347057,51.73097104628881
gpqa_69,0,38718,0.011327099473669363,60.01557247638702
gpqa_96,0,65536,0.016213995496511046,56.39250909090042
gpqa_26,1,4404,0.3638895952173819,10.669124428431193
gpqa_110,0,54424,0.037012256791913514,100.65106342633565
gpqa_107,0,511,0.4106245093774393,44.10561271508535
gpqa_64,0,1521,0.49895073730232165,6.349305216471354
gpqa_95,1,3896,0.11255234587347134,2.9983892838160195
gpqa_59,0,19166,0.10172081872095488,121.33986622889837
gpqa_38,0,31970,0.02019097343873504,60.01160685221354
gpqa_63,1,1818,0.2706781404732278,11.893159488836924
gpqa_31,0,3879,0.33940128445873036,26.46562198797862
gpqa_9,0,29636,0.0404943471064899,60.017884226640064
gpqa_139,0,52065,0.032903099374184286,100.64673546950023
gpqa_137,1,5014,0.2569668850448994,49.74781351089477
gpqa_76,1,5371,0.21098935482043388,18.103483911355337
gpqa_160,0,68389,0.01017312035906964,60.060159254074094
gpqa_74,1,1363,0.2082823616296693,6.118422718842824
gpqa_72,1,960,0.3411767492583164,2.4960850954055784
gpqa_182,1,1926,0.17052941472751235,123.8408478140831
gpqa_28,0,37677,0.04494823600057965,60.04176114400228
gpqa_145,1,5026,0.37065862795328264,50.21534161170324
gpqa_62,1,2742,0.330426169286069,72.63400335709254
gpqa_73,1,876,0.34227925725630637,2.123942196369171
gpqa_17,1,1578,0.1625081724065001,19.866075348854064
gpqa_47,1,895,0.332017141058767,1.8421148419380189
gpqa_61,1,2407,0.31278286810924566,72.75900072256724
gpqa_49,1,1448,0.24510367186966012,1.8723623673121135
gpqa_111,0,3482,0.3887905119648778,40.91488511562348
gpqa_39,1,959,0.38149198897827086,4.120658826828003
gpqa_97,1,5348,0.1954786471236506,7.54600606362025
gpqa_78,1,3263,0.2747128381818966,2.945910088221232
gpqa_55,1,1635,0.43511166443842964,1.7760298252105713
gpqa_13,1,1209,0.13581754307898095,22.1198818564415
gpqa_41,1,3627,0.173102323144569,14.438614491621653
gpqa_122,1,1045,0.37929462353930615,1.3078669508298237
gpqa_24,0,19438,0.047817816627008305,60.01183492739995
gpqa_65,0,34307,0.03490873556086615,60.01347362200419
gpqa_93,1,4123,0.1465349681999294,3.456597987810771
gpqa_118,1,2029,0.3841608817791287,19.67402079105377
gpqa_57,1,973,0.30703378503394024,0.9482937852541605
gpqa_115,1,4161,0.40252927644825715,50.99272028605143
gpqa_121,1,1049,0.23827331724574088,18.77333502372106
gpqa_85,1,1396,0.37619564811384204,1.0897091507911683
gpqa_44,1,1266,0.20701569215678314,8.828201715151469
gpqa_12,0,24937,0.029965770926093486,60.01107180118561
gpqa_22,0,22527,0.02264138193043987,60.010578008492786
gpqa_83,0,15731,0.16937189887974272,84.12291781107585
gpqa_142,1,10329,0.3359328634008529,51.76607880194982
gpqa_51,1,1203,0.19464826797527948,5.182494088013967
gpqa_129,0,62536,0.031502480925111785,100.60439977645873
gpqa_98,1,2697,0.349845809828673,4.386488501230875
gpqa_50,1,2534,0.291306474900613,5.403502333164215
gpqa_67,1,1453,0.3282653900470043,8.132977640628814
gpqa_33,1,965,0.30459327577530104,3.900459361076355
gpqa_91,1,2627,0.17817249727875972,2.772841795285543
gpqa_1,1,1882,0.3299891855972895,9.00425044298172
gpqa_66,1,940,0.3316498918619055,3.6421598831812543
gpqa_10,1,3458,0.2793447835890891,9.276545496781667
gpqa_56,1,1232,0.16286510828515585,1.4454333980878193
gpqa_4,1,1597,0.17824050757929205,5.836207067966461
gpqa_99,1,1386,0.33635547685382405,2.2995997428894044
gpqa_195,1,2713,0.21466260431532677,92.82843998670577
gpqa_149,0,3795,0.18634232318619065,51.641619372367856
gpqa_151,1,2867,0.1908739946274325,50.36066279411316
gpqa_123,0,4749,0.3501531737218936,51.193426203727725
