benchmark,harness,source_id,task_id,sample_index,outcome,correct,score_status,failure_type,detail
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_108,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_112,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_116,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_120,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_133,0,success,True,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_14,0,success,True,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_165,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_166,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_171,0,success,True,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_177,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_188,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenClaw,gpqa_openclaw_v2,gpqa_189,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenCode,gpqa_opencode_v2,gpqa_160,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenCode,gpqa_opencode_v2,gpqa_173,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenCode,gpqa_opencode_v2,gpqa_181,0,failure,False,valid_scored,no_action_events,No model action spans extracted
GPQA,OpenCode,gpqa_opencode_v2,gpqa_181,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,OpenCode,gpqa_opencode_v2,gpqa_189,0,failure,False,valid_scored,no_action_events,No model action spans extracted
GPQA,OpenCode,gpqa_opencode_v2,gpqa_189,0,failure,False,valid_scored,missing_token_length,No n_tokens or completion token fallback
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_106,0,unknown,,runtime_error,no_action_events,No model action spans extracted
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_106,0,unknown,,runtime_error,missing_token_length,No n_tokens or completion token fallback
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_108,0,unknown,,runtime_error,no_action_events,No model action spans extracted
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_108,0,unknown,,runtime_error,missing_token_length,No n_tokens or completion token fallback
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_112,0,unknown,,runtime_error,no_action_events,No model action spans extracted
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_112,0,unknown,,runtime_error,missing_token_length,No n_tokens or completion token fallback
GPQA,ZeroClaw,gpqa_zeroclaw_v2,gpqa_116,0,unknown,,runtime_error,no_action_events,No model action spans extracted
