benchmark,harness,source_id,task_id,sample_index,outcome,correct,score_status,mean_entropy,max_entropy,p50_entropy,p90_entropy,n_tokens,wall_time_sec,action_event_count,tool_call_count
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_0,0,success,True,,0.3761909713542868,2.7633275803761266,0.01012495382798217,1.3082399971023475,5951.0,191.514178276062,68,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_1,0,success,True,,0.3161614867567852,2.7653027883416073,0.005739424950828937,1.1277210890506217,6371.0,205.15656661987305,60,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_10,0,failure,False,,0.29602257425910705,2.8480164038657083,0.0013718302603888343,1.095278841221717,17544.0,573.5480120182037,477,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_100,0,failure,False,,0.08001019791592595,2.6199159904942206,1.7960064248219945e-05,0.044553174534872696,32768.0,1060.037509918213,742,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_101,0,failure,False,,0.1777245104308178,2.833011202682326,3.175545261109475e-05,0.7629933862372328,32768.0,1064.394479751587,2152,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_102,0,success,True,,0.27146805313706596,2.8563966914335075,0.0008116660941910397,1.04238483163785,23407.0,760.586439371109,1085,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_103,0,failure,False,,0.4077045860474807,2.6147401946817745,0.05553453279311803,1.3106059605957243,12078.0,393.6484160423279,605,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_104,0,success,True,,0.3315426688300391,2.6777309044098736,0.006570170093733359,1.1864588498362683,7972.0,261.7753551006317,189,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_105,0,success,True,,0.38574955211127865,2.801491864279155,0.02082069698809773,1.305642776397415,8974.0,291.51886796951294,306,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_106,0,failure,False,,0.3382204035619856,2.584878795416314,0.00482172486364983,1.211606703731842,12837.0,398.6426131725311,476,0
GPQA,DirectLLM,gpqa_directllm_phase9,gpqa_107,0,failure,False,,0.33269240133733635,2.703232092249048,0.012253246197048633,1.1624741433972028,14260.0,439.9818506240845,469,0
